Index,CO,NO2,O3,SO2,PM2.5
634,0.2,2.0,77.0,2.0,6.0
635,0.1,2.0,77.0,2.0,12.0
636,0.1,2.0,75.0,2.0,3.0
637,0.1,2.0,74.0,2.0,6.0
638,0.1,2.0,72.0,2.0,8.0
639,0.2,2.0,71.0,2.0,9.0
640,0.2,2.0,65.0,2.0,10.0
641,0.2,2.0,78.0,3.0,3.0
642,0.2,2.0,79.0,5.0,3.0
643,0.2,2.0,80.0,6.0,22.0
644,0.2,2.0,83.0,7.0,3.0
645,0.2,2.0,84.0,7.0,3.0
646,0.2,2.0,81.0,8.0,3.0
647,0.4,13.0,64.0,14.0,16.0
648,0.4,15.0,64.0,17.0,19.0
649,0.5,15.0,61.0,17.0,21.0
650,0.7,18.0,53.0,18.0,33.0
651,0.6,17.0,52.0,19.0,26.0
652,0.7,15.0,24.0,10.0,32.0
653,0.5,10.0,9.0,12.0,30.0
654,0.5,10.0,15.0,4.0,37.0
655,0.8,19.0,23.0,5.0,35.0
656,0.8,18.0,21.0,3.0,34.0
657,0.7,19.0,23.0,3.0,32.0
658,0.7,19.0,25.0,4.0,28.0
659,0.7,18.0,28.0,4.0,33.0
660,0.7,18.0,33.0,6.0,27.0
661,0.7,18.0,42.0,8.0,39.0
662,0.8,20.0,47.0,12.0,41.0
663,0.1,29.0,38.0,15.0,60.0
664,1.2,37.0,36.0,15.0,71.0
665,1.2,40.0,34.0,13.0,85.0
666,1.2,36.0,30.0,9.0,67.0
667,1.2,33.0,22.0,4.0,72.0
668,1.2,30.0,21.0,2.0,71.0
669,1.1,28.0,22.0,2.0,72.0
670,1.2,27.0,17.0,2.0,73.0
671,1.2,36.0,8.0,2.0,71.0
672,1.1,29.0,15.0,2.0,74.0
673,0.9,25.0,24.0,2.0,61.0
674,0.4,4.0,64.0,2.0,17.0
675,0.2,2.0,73.0,2.0,4.0
676,0.2,2.0,73.0,2.0,11.0
677,0.2,2.0,72.0,2.0,13.0
678,0.2,2.0,72.0,2.0,3.0
679,0.2,2.0,74.0,2.0,12.0
680,0.2,2.0,77.0,2.0,5.0
681,0.2,2.0,78.0,2.0,3.0
682,0.2,2.0,79.0,2.0,9.0
683,0.2,2.0,79.0,2.0,6.0
684,0.2,2.0,77.0,2.0,3.0
685,0.2,2.0,76.0,2.0,5.0
686,0.2,2.0,75.0,2.0,11.0
687,0.2,2.0,76.0,2.0,7.0
688,0.2,2.0,76.0,2.0,5.0
689,0.2,2.0,75.0,2.0,3.0
690,0.2,2.0,69.0,2.0,3.0
691,0.2,2.0,75.0,3.0,8.0
692,0.3,2.0,78.0,6.0,3.0
693,0.2,2.0,65.0,5.0,3.0
694,0.2,2.0,74.0,5.0,3.0
695,0.2,2.0,76.0,6.0,3.0
696,0.2,2.0,76.0,6.0,3.0
697,0.2,2.0,75.0,5.0,5.0
698,0.2,2.0,73.0,4.0,4.0
699,0.2,2.0,72.0,4.0,3.0
700,0.2,2.0,70.0,4.0,6.0
701,0.2,2.0,71.0,3.0,3.0
702,0.2,2.0,76.0,2.0,6.0
703,0.2,2.0,76.0,2.0,3.0
704,0.2,2.0,75.0,2.0,9.0
705,0.1,2.0,75.0,2.0,3.0
706,0.2,2.0,74.0,2.0,3.0
707,0.2,2.0,73.0,2.0,3.0
708,0.1,2.0,73.0,2.0,6.0
709,0.2,2.0,73.0,2.0,10.0
710,0.2,2.0,75.0,2.0,5.0
711,0.2,2.0,76.0,2.0,3.0
712,0.2,2.0,76.0,3.0,6.0
713,0.2,2.0,78.0,4.0,5.0
714,0.3,2.0,79.0,5.0,3.0
715,0.3,2.0,81.0,7.0,3.0
716,0.3,2.0,82.0,8.0,3.0
717,0.3,2.0,82.0,8.0,6.0
718,0.3,2.0,82.0,8.0,8.0
719,0.2,2.0,83.0,8.0,3.0
720,0.2,2.0,81.0,8.0,4.0
721,0.2,2.0,72.0,7.0,8.0
722,0.2,2.0,66.0,8.0,3.0
723,0.2,2.0,71.0,6.0,5.0
724,0.5,2.0,50.0,6.0,3.0
725,0.2,2.0,29.0,7.0,9.0
726,0.3,2.0,33.0,3.0,5.0
727,0.3,5.0,30.0,3.0,13.0
728,0.3,8.0,35.0,2.0,12.0
729,0.4,7.0,49.0,2.0,8.0
730,0.3,8.0,48.0,2.0,3.0
731,0.4,10.0,43.0,2.0,7.0
732,0.4,11.0,47.0,2.0,10.0
733,0.3,8.0,53.0,2.0,20.0
734,0.2,4.0,67.0,2.0,10.0
735,0.2,2.0,73.0,2.0,7.0
736,0.3,2.0,76.0,3.0,9.0
737,0.3,2.0,79.0,5.0,8.0
738,0.3,2.0,81.0,5.0,6.0
739,0.3,2.0,82.0,6.0,8.0
740,0.3,2.0,82.0,6.0,3.0
741,0.3,2.0,81.0,6.0,4.0
742,0.3,8.0,64.0,8.0,10.0
743,0.3,5.0,65.0,8.0,4.0
744,0.4,6.0,60.0,8.0,16.0
745,0.4,7.0,56.0,8.0,23.0
746,0.5,8.0,53.0,8.0,16.0
747,0.5,7.0,54.0,7.0,16.0
748,0.4,6.0,54.0,6.0,15.0
749,0.5,7.0,48.0,5.0,16.0
750,0.6,10.0,44.0,5.0,17.0
751,0.5,8.0,48.0,4.0,23.0
752,0.4,5.0,53.0,3.0,9.0
753,0.4,9.0,45.0,3.0,21.0
754,0.4,11.0,41.0,3.0,18.0
755,0.4,11.0,44.0,4.0,20.0
756,0.4,10.0,49.0,6.0,32.0
757,0.4,9.0,55.0,6.0,28.0
758,0.4,8.0,60.0,8.0,24.0
759,0.5,10.0,76.0,14.0,32.0
760,0.4,8.0,83.0,12.0,30.0
761,0.4,6.0,84.0,10.0,19.0
762,0.4,7.0,85.0,11.0,21.0
763,0.5,11.0,76.0,14.0,24.0
764,0.9,24.0,59.0,23.0,44.0
765,0.2,53.0,34.0,38.0,93.0
766,2.3,60.0,26.0,44.0,105.0
767,1.6,39.0,25.0,22.0,65.0
768,1.2,30.0,29.0,16.0,53.0
769,1.4,35.0,24.0,19.0,64.0
770,1.6,29.0,15.0,19.0,67.0
771,1.3,23.0,3.0,18.0,82.0
772,1.5,23.0,5.0,9.0,88.0
773,1.2,29.0,4.0,8.0,89.0
774,1.8,38.0,5.0,9.0,100.0
775,0.2,35.0,14.0,11.0,86.0
776,1.7,31.0,19.0,10.0,81.0
777,0.1,22.0,30.0,6.0,54.0
778,0.8,15.0,42.0,5.0,41.0
779,0.7,13.0,50.0,4.0,31.0
780,0.5,7.0,60.0,2.0,24.0
781,0.4,5.0,68.0,2.0,15.0
782,0.3,4.0,70.0,3.0,13.0
783,0.3,4.0,77.0,2.0,10.0
784,0.3,4.0,80.0,2.0,3.0
785,0.2,2.0,84.0,2.0,3.0
786,0.2,2.0,83.0,2.0,3.0
787,0.2,2.0,84.0,2.0,7.0
788,0.3,3.0,76.0,2.0,8.0
789,0.8,21.0,56.0,10.0,39.0
790,1.4,31.0,51.0,18.0,83.0
791,1.7,32.0,48.0,21.0,94.0
792,1.9,33.0,43.0,23.0,105.0
793,2.6,43.0,34.0,27.0,134.0
794,2.9,63.0,18.0,25.0,156.0
795,2.2,42.0,20.0,11.0,121.0
796,1.8,32.0,20.0,7.0,89.0
797,1.9,31.0,17.0,5.0,86.0
798,1.9,33.0,15.0,4.0,96.0
799,2.2,42.0,5.0,3.0,105.0
800,2.3,44.0,4.0,2.0,113.0
801,0.2,40.0,8.0,2.0,101.0
802,0.2,35.0,10.0,4.0,99.0
803,1.7,36.0,16.0,6.0,90.0
804,1.7,35.0,20.0,7.0,92.0
805,1.7,35.0,31.0,15.0,95.0
806,1.8,37.0,38.0,20.0,126.0
807,0.2,40.0,55.0,33.0,137.0
808,2.2,49.0,60.0,39.0,155.0
809,2.4,57.0,57.0,40.0,178.0
810,2.6,58.0,63.0,42.0,197.0
811,2.8,69.0,51.0,34.0,220.0
812,2.9,72.0,43.0,30.0,231.0
813,2.9,67.0,38.0,20.0,235.0
814,2.8,63.0,35.0,16.0,236.0
815,2.9,65.0,23.0,9.0,229.0
816,2.9,65.0,20.0,7.0,232.0
817,2.7,54.0,25.0,6.0,227.0
818,2.5,43.0,15.0,5.0,224.0
819,1.7,27.0,8.0,14.0,220.0
820,1.8,27.0,13.0,5.0,224.0
821,1.4,31.0,12.0,4.0,219.0
822,1.8,43.0,12.0,3.0,216.0
823,2.4,44.0,20.0,4.0,197.0
824,2.3,40.0,20.0,3.0,197.0
825,2.3,40.0,21.0,3.0,207.0
826,2.2,36.0,29.0,11.0,207.0
827,2.2,33.0,41.0,15.0,208.0
828,2.2,32.0,53.0,19.0,215.0
829,2.2,30.0,74.0,26.0,211.0
830,2.1,30.0,100.0,36.0,194.0
831,0.2,33.0,106.0,38.0,188.0
832,0.2,46.0,93.0,41.0,183.0
833,0.2,46.0,102.0,42.0,183.0
834,2.1,56.0,87.0,41.0,199.0
835,2.2,59.0,78.0,40.0,205.0
836,2.4,64.0,68.0,41.0,214.0
837,2.4,65.0,59.0,35.0,222.0
838,2.3,56.0,60.0,27.0,219.0
839,2.4,56.0,52.0,25.0,218.0
840,2.6,52.0,48.0,26.0,219.0
841,2.1,28.0,71.0,27.0,210.0
842,1.1,14.0,72.0,16.0,95.0
843,0.6,9.0,73.0,8.0,51.0
844,0.4,7.0,75.0,6.0,17.0
845,0.3,5.0,75.0,5.0,10.0
846,0.3,5.0,75.0,4.0,9.0
847,0.3,5.0,78.0,3.0,8.0
848,0.3,5.0,80.0,3.0,11.0
849,0.3,4.0,82.0,2.0,5.0
850,0.3,5.0,81.0,2.0,5.0
851,0.3,5.0,81.0,2.0,5.0
852,0.3,5.0,82.0,2.0,10.0
853,0.3,4.0,82.0,2.0,3.0
854,0.3,4.0,81.0,2.0,6.0
855,0.3,4.0,80.0,2.0,6.0
856,0.3,3.0,78.0,2.0,6.0
857,0.3,3.0,77.0,2.0,7.0
858,0.3,3.0,77.0,2.0,6.0
859,0.7,3.0,59.0,2.0,5.0
860,0.2,3.0,35.0,5.0,8.0
861,0.2,3.0,45.0,2.0,4.0
862,0.2,2.0,45.0,3.0,7.0
863,0.1,2.0,51.0,2.0,9.0
864,0.2,2.0,73.0,2.0,3.0
865,0.2,4.0,68.0,2.0,3.0
866,0.1,3.0,67.0,2.0,3.0
867,0.1,2.0,66.0,2.0,13.0
868,0.2,2.0,75.0,2.0,4.0
869,0.2,2.0,77.0,2.0,3.0
870,0.2,2.0,78.0,2.0,3.0
871,0.2,2.0,79.0,3.0,3.0
872,0.2,3.0,80.0,4.0,4.0
873,0.2,3.0,82.0,4.0,3.0
874,0.2,3.0,82.0,5.0,3.0
875,0.2,3.0,82.0,5.0,3.0
876,0.2,3.0,81.0,6.0,8.0
877,0.3,5.0,74.0,6.0,4.0
878,0.3,6.0,66.0,7.0,7.0
879,0.3,6.0,66.0,6.0,3.0
880,0.3,6.0,60.0,5.0,8.0
881,0.4,8.0,54.0,5.0,11.0
882,0.4,7.0,53.0,5.0,10.0
883,0.4,7.0,52.0,4.0,12.0
884,0.4,7.0,47.0,3.0,12.0
885,0.4,10.0,40.0,3.0,9.0
886,0.5,14.0,33.0,3.0,10.0
887,0.5,18.0,27.0,3.0,14.0
888,0.6,24.0,19.0,3.0,21.0
889,0.5,16.0,26.0,2.0,16.0
890,0.7,19.0,65.0,6.0,50.0
891,0.8,21.0,58.0,8.0,56.0
892,1.1,29.0,48.0,17.0,79.0
893,1.1,23.0,54.0,16.0,86.0
894,0.1,19.0,57.0,17.0,80.0
895,1.3,28.0,43.0,24.0,94.0
896,1.6,43.0,24.0,32.0,119.0
897,1.6,37.0,14.0,35.0,128.0
898,1.1,19.0,13.0,31.0,126.0
899,0.1,18.0,19.0,18.0,119.0
900,0.8,21.0,19.0,14.0,115.0
901,0.1,27.0,17.0,13.0,114.0
902,1.3,29.0,27.0,19.0,108.0
903,1.1,26.0,27.0,17.0,110.0
904,0.1,2.0,85.0,2.0,40.0
905,0.1,2.0,84.0,2.0,6.0
906,0.1,2.0,81.0,2.0,3.0
907,0.1,2.0,80.0,2.0,5.0
908,0.1,2.0,79.0,2.0,4.0
909,0.1,2.0,79.0,2.0,4.0
910,0.1,2.0,80.0,2.0,3.0
911,0.1,2.0,81.0,2.0,9.0
912,0.1,2.0,80.0,2.0,5.0
913,0.1,2.0,80.0,2.0,4.0
914,0.1,2.0,81.0,2.0,3.0
915,0.1,9.0,63.0,2.0,16.0
916,0.2,11.0,56.0,2.0,21.0
917,0.2,16.0,47.0,2.0,28.0
918,0.2,13.0,47.0,2.0,17.0
919,0.1,7.0,49.0,2.0,14.0
920,0.2,5.0,33.0,2.0,12.0
921,0.1,2.0,18.0,8.0,19.0
922,0.4,3.0,20.0,2.0,16.0
923,0.6,11.0,22.0,3.0,21.0
924,1.2,54.0,12.0,3.0,100.0
925,1.2,46.0,16.0,2.0,87.0
926,0.1,34.0,24.0,2.0,77.0
927,0.1,32.0,22.0,2.0,69.0
928,0.8,25.0,28.0,3.0,52.0
929,0.8,22.0,30.0,3.0,57.0
930,0.1,20.0,28.0,3.0,61.0
931,1.1,24.0,17.0,3.0,83.0
932,1.2,28.0,11.0,4.0,95.0
933,1.4,31.0,6.0,4.0,103.0
934,1.4,29.0,7.0,5.0,90.0
935,1.3,24.0,13.0,5.0,91.0
936,1.3,22.0,15.0,6.0,88.0
937,1.2,22.0,15.0,6.0,85.0
938,1.2,21.0,15.0,6.0,85.0
939,1.1,18.0,20.0,6.0,85.0
940,1.1,14.0,28.0,12.0,90.0
941,0.1,20.0,70.0,14.0,80.0
942,0.1,19.0,81.0,14.0,67.0
943,0.9,18.0,84.0,14.0,66.0
944,0.9,19.0,76.0,15.0,65.0
945,0.9,18.0,79.0,15.0,70.0
946,0.6,11.0,80.0,12.0,39.0
947,0.4,5.0,79.0,9.0,3.0
948,0.4,4.0,76.0,8.0,10.0
949,0.3,4.0,77.0,7.0,3.0
950,0.3,3.0,79.0,7.0,9.0
951,0.3,3.0,77.0,7.0,4.0
952,0.3,3.0,78.0,6.0,5.0
953,0.3,3.0,77.0,5.0,4.0
954,0.4,3.0,55.0,5.0,7.0
955,0.2,2.0,48.0,3.0,5.0
956,0.2,2.0,49.0,3.0,6.0
957,0.1,2.0,54.0,2.0,3.0
958,0.2,4.0,60.0,2.0,6.0
959,0.3,8.0,52.0,2.0,5.0
960,0.3,8.0,52.0,2.0,7.0
961,0.2,5.0,54.0,2.0,9.0
962,0.2,4.0,63.0,2.0,3.0
963,0.2,4.0,75.0,2.0,6.0
964,0.3,4.0,80.0,3.0,5.0
965,0.3,4.0,84.0,4.0,3.0
966,0.3,4.0,85.0,5.0,3.0
967,0.3,6.0,84.0,6.0,3.0
968,0.3,7.0,84.0,7.0,5.0
969,0.3,8.0,85.0,7.0,7.0
970,0.3,8.0,82.0,7.0,12.0
971,0.4,9.0,78.0,7.0,3.0
972,0.4,10.0,71.0,8.0,13.0
973,0.4,9.0,67.0,7.0,12.0
974,0.5,10.0,59.0,7.0,15.0
975,0.5,12.0,51.0,6.0,20.0
976,0.5,12.0,47.0,5.0,18.0
977,0.5,17.0,39.0,5.0,11.0
978,0.5,20.0,34.0,5.0,18.0
979,0.5,19.0,33.0,4.0,15.0
980,0.4,11.0,41.0,2.0,13.0
981,0.4,10.0,42.0,2.0,15.0
982,0.3,9.0,41.0,2.0,11.0
983,0.4,10.0,37.0,2.0,8.0
984,0.2,2.0,84.0,2.0,37.0
985,0.3,3.0,77.0,2.0,7.0
986,0.3,3.0,73.0,2.0,6.0
987,0.3,2.0,75.0,2.0,3.0
988,0.3,2.0,75.0,2.0,8.0
989,0.3,2.0,74.0,2.0,5.0
990,0.3,3.0,64.0,2.0,3.0
991,0.5,3.0,47.0,2.0,6.0
992,0.3,3.0,24.0,8.0,3.0
993,0.4,5.0,25.0,2.0,14.0
994,0.3,7.0,21.0,2.0,16.0
995,0.3,8.0,28.0,2.0,6.0
996,0.3,8.0,40.0,2.0,5.0
997,0.4,9.0,35.0,2.0,7.0
998,0.3,3.0,84.0,2.0,5.0
999,0.3,2.0,86.0,2.0,4.0
1000,0.3,2.0,85.0,3.0,3.0
1001,0.3,3.0,84.0,4.0,8.0
1002,0.3,3.0,82.0,4.0,6.0
1003,0.3,3.0,79.0,4.0,8.0
1004,0.3,3.0,78.0,4.0,7.0
1005,0.3,3.0,75.0,4.0,12.0
1006,0.3,5.0,66.0,4.0,10.0
1007,0.4,5.0,60.0,3.0,10.0
1008,0.4,7.0,51.0,2.0,7.0
1009,0.4,11.0,42.0,2.0,14.0
1010,0.4,9.0,45.0,2.0,12.0
1011,0.4,8.0,84.0,3.0,12.0
1012,0.5,12.0,76.0,7.0,21.0
1013,0.7,23.0,53.0,12.0,32.0
1014,0.6,20.0,50.0,10.0,31.0
1015,0.6,13.0,51.0,7.0,28.0
1016,0.6,13.0,46.0,6.0,24.0
1017,0.6,14.0,39.0,6.0,21.0
1018,0.8,12.0,28.0,6.0,28.0
1019,0.4,9.0,14.0,13.0,27.0
1020,0.5,9.0,17.0,5.0,30.0
1021,0.3,11.0,17.0,6.0,29.0
1022,0.5,18.0,11.0,4.0,29.0
1023,0.6,19.0,16.0,3.0,35.0
1024,0.6,21.0,13.0,2.0,35.0
1025,0.6,19.0,18.0,3.0,36.0
1026,0.2,2.0,86.0,3.0,4.0
1027,0.2,2.0,84.0,2.0,6.0
1028,0.2,2.0,82.0,2.0,6.0
1029,0.2,2.0,81.0,2.0,8.0
1030,0.2,2.0,78.0,2.0,3.0
1031,0.2,2.0,76.0,2.0,6.0
1032,0.1,2.0,75.0,2.0,4.0
1033,0.1,2.0,74.0,2.0,11.0
1034,0.3,2.0,56.0,2.0,5.0
1035,0.1,2.0,40.0,3.0,8.0
1036,0.2,2.0,51.0,2.0,3.0
1037,0.2,2.0,69.0,2.0,4.0
1038,0.2,2.0,71.0,2.0,3.0
1039,0.2,2.0,71.0,2.0,5.0
1040,0.2,2.0,70.0,2.0,3.0
1041,0.2,2.0,71.0,2.0,6.0
1042,0.2,2.0,74.0,2.0,11.0
1043,0.3,2.0,76.0,2.0,7.0
1044,0.3,2.0,79.0,3.0,4.0
1045,0.3,2.0,81.0,2.0,7.0
1046,0.3,2.0,83.0,2.0,3.0
1047,0.3,2.0,81.0,2.0,5.0
1048,0.3,2.0,79.0,2.0,3.0
1049,0.3,2.0,77.0,2.0,7.0
1050,0.3,2.0,77.0,3.0,8.0
1051,0.3,2.0,75.0,3.0,4.0
1052,0.3,2.0,74.0,3.0,3.0
1053,0.3,2.0,73.0,3.0,3.0
1054,0.3,2.0,72.0,2.0,4.0
1055,0.3,3.0,59.0,4.0,11.0
1056,0.3,7.0,54.0,2.0,7.0
1057,0.4,14.0,43.0,2.0,9.0
1058,0.3,12.0,44.0,2.0,5.0
1059,0.6,9.0,35.0,2.0,3.0
1060,0.3,10.0,32.0,2.0,8.0
1061,0.3,8.0,52.0,2.0,3.0
1062,0.3,8.0,64.0,2.0,6.0
1063,0.3,9.0,69.0,2.0,12.0
1064,0.3,7.0,74.0,2.0,7.0
1065,0.3,5.0,83.0,2.0,5.0
1066,0.4,3.0,90.0,3.0,10.0
1067,0.3,2.0,93.0,3.0,10.0
1068,0.3,3.0,94.0,3.0,3.0
1069,0.3,3.0,96.0,3.0,5.0
1070,0.3,5.0,96.0,4.0,12.0
1071,0.3,3.0,99.0,4.0,5.0
1072,0.3,3.0,99.0,4.0,8.0
1073,0.3,2.0,97.0,4.0,10.0
1074,0.3,2.0,94.0,5.0,9.0
1075,0.3,3.0,90.0,5.0,6.0
1076,0.3,2.0,89.0,5.0,12.0
1077,0.3,3.0,85.0,4.0,5.0
1078,0.3,4.0,76.0,4.0,10.0
1079,0.3,5.0,73.0,4.0,5.0
1080,0.3,8.0,31.0,7.0,9.0
1081,0.4,27.0,27.0,6.0,15.0
1082,0.4,25.0,26.0,5.0,15.0
1083,0.4,21.0,29.0,4.0,19.0
1084,0.4,18.0,35.0,4.0,14.0
1085,0.4,16.0,41.0,4.0,16.0
1086,0.3,12.0,62.0,5.0,15.0
1087,0.2,3.0,91.0,4.0,4.0
1088,0.2,4.0,93.0,5.0,9.0
1089,0.3,10.0,72.0,6.0,13.0
1090,0.3,9.0,73.0,6.0,6.0
1091,0.4,10.0,60.0,6.0,11.0
1092,0.3,11.0,54.0,6.0,10.0
1093,0.3,12.0,52.0,5.0,7.0
1094,0.3,15.0,46.0,6.0,13.0
1095,0.3,15.0,28.0,5.0,5.0
1096,0.4,17.0,40.0,6.0,20.0
1097,0.3,12.0,49.0,5.0,16.0
1098,0.4,12.0,51.0,6.0,12.0
1099,0.2,4.0,83.0,5.0,4.0
1100,0.2,4.0,93.0,6.0,4.0
1101,0.3,6.0,92.0,7.0,3.0
1102,0.3,9.0,93.0,8.0,3.0
1103,0.6,21.0,84.0,10.0,18.0
1104,0.6,32.0,57.0,12.0,31.0
1105,0.6,29.0,52.0,11.0,41.0
1106,0.6,27.0,43.0,9.0,45.0
1107,0.6,27.0,39.0,10.0,34.0
1108,0.4,15.0,16.0,6.0,33.0
1109,0.7,33.0,21.0,5.0,38.0
1110,0.4,12.0,92.0,6.0,22.0
1111,0.2,2.0,84.0,2.0,4.0
1112,0.2,2.0,82.0,2.0,7.0
1113,0.2,2.0,79.0,2.0,4.0
1114,0.6,2.0,59.0,2.0,6.0
1115,0.3,2.0,83.0,2.0,5.0
1116,0.3,2.0,85.0,2.0,3.0
1117,0.3,2.0,85.0,2.0,3.0
1118,0.3,2.0,85.0,2.0,8.0
1119,0.3,2.0,87.0,2.0,3.0
1120,0.2,2.0,87.0,2.0,3.0
1121,0.2,3.0,65.0,2.0,3.0
1122,0.4,15.0,43.0,3.0,15.0
1123,0.3,8.0,52.0,2.0,7.0
1124,0.3,4.0,69.0,2.0,10.0
1125,0.3,2.0,86.0,2.0,3.0
1126,0.3,2.0,90.0,2.0,5.0
1127,0.4,16.0,43.0,3.0,11.0
1128,0.3,9.0,57.0,2.0,11.0
1129,0.4,10.0,78.0,5.0,12.0
1130,1.3,50.0,18.0,18.0,56.0
1131,1.3,42.0,9.0,15.0,61.0
1132,0.1,39.0,7.0,4.0,47.0
1133,0.9,35.0,8.0,3.0,37.0
1134,0.9,36.0,7.0,3.0,46.0
1135,0.1,36.0,12.0,7.0,46.0
1136,0.9,33.0,22.0,9.0,51.0
1137,0.9,29.0,70.0,17.0,50.0
1138,0.1,38.0,72.0,19.0,59.0
1139,1.1,39.0,80.0,20.0,69.0
1140,1.2,59.0,65.0,26.0,74.0
1141,1.2,65.0,54.0,25.0,79.0
1142,1.2,58.0,51.0,21.0,80.0
1143,1.2,55.0,44.0,14.0,81.0
1144,1.2,51.0,37.0,11.0,73.0
1145,1.1,50.0,32.0,9.0,72.0
1146,1.1,46.0,32.0,7.0,71.0
1147,1.1,42.0,31.0,7.0,72.0
1148,1.1,39.0,30.0,5.0,67.0
1149,0.1,34.0,36.0,8.0,70.0
1150,0.1,33.0,33.0,6.0,65.0
1151,0.1,35.0,35.0,11.0,87.0
1152,0.9,30.0,61.0,13.0,80.0
1153,0.9,38.0,103.0,19.0,72.0
1154,0.1,42.0,100.0,20.0,78.0
1155,0.1,41.0,100.0,19.0,78.0
1156,1.2,44.0,94.0,23.0,94.0
1157,1.2,41.0,88.0,23.0,99.0
1158,1.2,39.0,78.0,20.0,93.0
1159,1.2,41.0,65.0,15.0,98.0
1160,1.2,38.0,61.0,13.0,96.0
1161,1.1,40.0,47.0,9.0,91.0
1162,1.4,32.0,33.0,9.0,89.0
1163,0.8,22.0,24.0,16.0,99.0
1164,0.8,23.0,28.0,8.0,96.0
1165,0.7,30.0,20.0,8.0,92.0
1166,0.7,33.0,27.0,8.0,85.0
1167,0.9,34.0,33.0,8.0,86.0
1168,0.8,32.0,45.0,9.0,76.0
1169,0.8,36.0,48.0,10.0,74.0
1170,0.9,36.0,40.0,12.0,82.0
1171,0.1,35.0,50.0,14.0,89.0
1172,0.9,34.0,63.0,15.0,96.0
1173,0.9,30.0,78.0,17.0,106.0
1174,0.9,29.0,89.0,18.0,108.0
1175,0.9,27.0,99.0,18.0,115.0
1176,0.1,25.0,108.0,17.0,112.0
1177,0.1,29.0,108.0,16.0,121.0
1178,1.1,38.0,104.0,18.0,126.0
1179,1.1,44.0,98.0,17.0,135.0
1180,1.1,45.0,93.0,15.0,136.0
1181,1.1,39.0,90.0,14.0,137.0
1182,1.1,39.0,77.0,11.0,140.0
1183,1.1,39.0,63.0,8.0,141.0
1184,1.1,37.0,56.0,7.0,142.0
1185,1.1,37.0,52.0,7.0,142.0
1186,1.1,33.0,57.0,8.0,139.0
1187,1.1,35.0,48.0,6.0,144.0
1188,1.1,34.0,40.0,5.0,144.0
1189,1.1,33.0,41.0,5.0,146.0
1190,1.1,36.0,38.0,5.0,152.0
1191,1.1,33.0,40.0,5.0,144.0
1192,0.1,32.0,40.0,6.0,139.0
1193,0.1,30.0,43.0,9.0,134.0
1194,0.9,25.0,58.0,10.0,123.0
1195,0.9,21.0,79.0,12.0,122.0
1196,0.8,18.0,102.0,12.0,105.0
1197,0.7,15.0,120.0,11.0,94.0
1198,0.5,10.0,118.0,8.0,62.0
1199,0.5,10.0,117.0,8.0,33.0
1200,0.6,13.0,125.0,8.0,44.0
1201,0.6,12.0,125.0,7.0,41.0
1202,0.7,13.0,120.0,8.0,46.0
1203,0.8,19.0,119.0,11.0,61.0
1204,0.9,28.0,105.0,14.0,79.0
1205,1.1,38.0,83.0,17.0,78.0
1206,1.8,37.0,88.0,24.0,103.0
1207,2.2,42.0,91.0,27.0,153.0
1208,2.2,43.0,82.0,29.0,165.0
1209,2.5,48.0,68.0,26.0,183.0
1210,2.6,36.0,49.0,21.0,192.0
1211,1.6,21.0,28.0,9.0,185.0
1212,1.6,19.0,29.0,4.0,164.0
1213,1.1,21.0,30.0,5.0,146.0
1214,1.5,30.0,25.0,3.0,139.0
1215,1.9,29.0,35.0,3.0,147.0
1216,1.9,28.0,37.0,3.0,143.0
1217,1.8,29.0,38.0,6.0,138.0
1218,1.5,32.0,46.0,11.0,114.0
1219,1.6,32.0,49.0,11.0,132.0
1220,1.7,34.0,68.0,15.0,146.0
1221,1.7,28.0,112.0,22.0,151.0
1222,1.7,29.0,148.0,27.0,186.0
1223,1.7,31.0,158.0,26.0,202.0
1224,1.8,33.0,162.0,27.0,183.0
1225,1.7,27.0,168.0,24.0,164.0
1226,1.6,28.0,169.0,26.0,167.0
1227,1.5,35.0,170.0,29.0,186.0
1228,1.5,33.0,171.0,28.0,184.0
1229,1.4,28.0,167.0,24.0,185.0
1230,1.4,29.0,149.0,21.0,193.0
1231,1.3,27.0,149.0,20.0,183.0
1232,1.3,26.0,148.0,16.0,185.0
1233,1.4,29.0,134.0,17.0,192.0
1234,1.3,27.0,116.0,13.0,187.0
1235,1.3,27.0,102.0,8.0,187.0
1236,1.3,26.0,98.0,7.0,185.0
1237,1.2,25.0,93.0,6.0,185.0
1238,1.2,25.0,85.0,6.0,185.0
1239,1.2,24.0,86.0,5.0,188.0
1240,1.2,23.0,85.0,5.0,180.0
1241,1.1,23.0,95.0,6.0,178.0
1242,1.1,22.0,89.0,8.0,165.0
1243,0.3,5.0,72.0,2.0,19.0
1244,0.3,5.0,81.0,2.0,3.0
1245,0.3,5.0,84.0,2.0,6.0
1246,0.2,4.0,90.0,2.0,8.0
1247,0.2,3.0,96.0,2.0,5.0
1248,0.3,7.0,93.0,2.0,8.0
1249,0.4,12.0,97.0,2.0,19.0
1250,0.5,15.0,101.0,2.0,50.0
1251,0.6,21.0,93.0,2.0,52.0
1252,0.7,27.0,84.0,2.0,66.0
1253,0.7,25.0,77.0,2.0,72.0
1254,0.7,22.0,67.0,2.0,60.0
1255,0.7,19.0,55.0,2.0,63.0
1256,0.7,19.0,46.0,2.0,58.0
